nome_emissor_padronizado,nome_emissor_fitch,nome_emissor_moodys,nome_emissor_standard_and_poors,cnpj_emissor
BANCO J.P. MORGAN,,,Banco J.P. Morgan S.A.,33172537000198
BANCO JOHN DEERE,Banco John Deere S.A.,,,91884981000132
BANCO LAGE LANDEN,Banco de Lage Landen Brasil S.A.,,,05040481000182
BANCO LUSO BRASILEIRO,,Banco Luso Brasileiro S.A.,,59118133000100
BANCO MASTER,Banco Master S.A.,,,
BANCO MERCANTIL,Banco Mercantil do Brasil S.A.,,Banco Mercantil,17184037000110
BANCO MERCEDES,Banco Mercedes-Benz do Brasil S.A.,Banco Mercedes-Benz do Brasil S.A.,,60814191000157
BANCO MIZUHO,,Banco Mizuho do Brasil S.A.,,61088183000133
BANCO MODAL,,Banco Modal S.A.,,30723886000162
BANCO MORGAN STANLEY,,,Banco Morgan Stanley S.A.,02801938000136
BANCO MUFG,,,Banco MUFG Brasil S.A.,60498557000126
BANCO NACIONAL DESENVOLVIMENTO ECONOMICO SOCIAL,Banco Nacional de Desenvolvimento Economico e Social (BNDES),Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Banco Nacional de Desenvolvimento Economico e Social,
BANCO NORDESTE,Banco do Nordeste do Brasil S.A.,Banco do Nordeste do Brasil S.A.,Banco do Nordeste do Brasil S.A.,07237373000120
BANCO ORIGINAL,,,Banco Original S.A.,
BANCO PACCAR,,,Banco PACCAR S. A.,28517628000188
BANCO PAN,,Banco PAN S.A.,,59285411000113
BANCO PAULISTA,,,Banco Paulista S.A.,
BANCO PINE,,Banco Pine S.A.,Banco Pine S.A.,09160859000132
BANCO RABOBANK INTERNATIONAL,,,Banco Rabobank International Brasil S.A.,01023570000160
BANCO RANDON,,,Banco Randon S.A.,11476673000139
BANCO RCI,,Banco RCI Brasil S.A.,,60006075000101
BANCO REGIONAL DESENVOLVIMENTO EXTREMO SUL,Banco Regional de Desenvolvimento do Extremo Sul (BRDE),Banco Regional de Desenvolvimento do Extremo Sul - BRDE,,
BANCO RENDIMENTO,Banco Rendimento S.A.,,,68900810000138
BANCO RIBEIRAO PRETO,,Banco Ribeirão Preto S.A.,,00517645000104
BANCO RODOBENS,Banco Rodobens S.A.,,,33603457000140
BANCO SAFRA,,Banco Safra S.A.,Banco Safra S.A.,58160789000128
BANCO SANTANDER,,Banco Santander (Brasil) S.A.,Banco Santander (Brasil) S.A.,
BANCO SEGURO,,Banco Seguro S.A.,,
BANCO SENFF,,Banco Senff S.A.,,11970623000103
BANCO SOCIETE GENERALE,Banco Societe Generale Brasil S.A.,,,61533584000155
BANCO SOFISA,Banco Sofisa S.A.,,Banco Sofisa S.A.,60889128000180
BANCO STELLANTIS,,Banco Stellantis S.A.,,62237425000176
BANCO SUMITOMO MITSUI BRASILEIRO,Banco Sumitomo Mitsui Brasileiro S.A.,,Banco Sumitomo Mitsui Brasileiro S.A.,60518222000122
BANCO TOPAZIO,,Banco Topázio S.A.,,07679404000100
BANCO TOYOTA,,,Banco Toyota do Brasil S.A.,02977348000169
BANCO TRATON,,Banco Traton Brasil S.A.,,52067630000187
BANCO TRIANGULO,Banco Triangulo S.A.,,,17351180000159
BANCO VOLKSWAGEN,,Banco Volkswagen S.A.,Banco Volkswagen S.A.,
BANCO VOTORANTIM,,Banco Votorantim S.A. (Banco BV),Banco Votorantim S.A.,06986650000134
BANCO XP,Banco XP S.A,,Banco XP S.A.,33264668000103
BANCO YAMAHA MOTOR,,Banco Yamaha Motor Do Brasil S.A.,,10371492000185
BANCOSEGURO,BancoSeguro S.A.,,BancoSeguro S.A.,10264663000177
BANESTES,Banestes S.A. - Banco do Estado do Espirito Santo,,,
BANESTES DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,,Banestes Distribuidora de Títulos e Valores Mobiliários S.A.,,28156057000101
BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO,Bank of America Merrill Lynch Banco Multiplo S.A.,,,62073200000121
BANK OF CHINA BANCO MULTIPLO,,,Bank of China (Brasil) Banco Multiplo S.A.,07450604000189
